northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v1,Send Direct link,Virgin-Lang,POST,cms/send_direct_link,"{ ""number"" : ""example"" }",V1,send_direct_link,V1,send_direct_link,phoneNumber,,,,,parsed_key_results,GET
v18,change info,Session-Id;Virgin-Device-Id;Accept-Version,GET,plans/change_info,plan_ids=example&number=example&product_code=example,V10,is_upgrade_plan,V10,is_upgrade_plan,DistinationPlanIds;MSISDN;ProductCode,Change,IsUpgradePlan,V3,Change/V3/IsUpgradePlan,parsed_key_results,GET
v18,upgrade,Session-Id;Virgin-Device-Id;Accept-Version,POST,plans/change_now,"{ ""plan_ids"" : ""example"", ""number"" : ""example"", ""promotion_codes"" : ""example"", ""product_code"" : ""example"" }",V10,upgrade,V10,upgrade,DistinationPlanIds;MSISDN;PromotionCodes;productCode,Change,UpgradePlan,V3,Change/V3/UpgradePlan,parsed_key_results,POST
v22,CheckEligibility,Session-Id;Virgin-Device-Id;Accept-Version,POST,eligibility/check_eligibility,"{ ""id_type"" : ""example"", ""id_number"" : ""example"", ""nationality_id"" : ""example"", ""city_id"" : ""example"", ""contact_number"" : ""example"", ""passport_number"" : ""example"", ""nationality_iso3"" : ""example"" }",V11,check_eligibility,V11,check_eligibility,IDNumber;IDType;NationalityID;CityId;ContactNumber;iSOCode;PassportID,CheckEligibility,CheckEligibility,v2,CheckEligibility/v2/CheckEligibility,parsed_key_results,POST
v22,MaritalStatusesAndGenders,Session-Id;Virgin-Device-Id;Accept-Version,GET,eligibility/marital_statuses_and_genders,,V11,get_marital_statuses_and_genders,V11,get_marital_statuses_and_genders,,CheckEligibility,MaritalStatusesAndGenders,v2,CheckEligibility/v2/MaritalStatusesAndGenders,parsed_key_results,GET
v22,Sim Delivery Option,Session-Id;Virgin-Device-Id;Accept-Version,GET,eligibility/sim_delivery_option,,V11,get_sim_delivery_option,V11,get_sim_delivery_option,,CheckEligibility,SimDeliveryOptionsbyID,V2,CheckEligibility/V2/SimDeliveryOptionsbyID,parsed_key_results,GET
v21,save_selected_plan,Session-Id;Virgin-Device-Id;Accept-Version,POST,family/save_selected_plan,"{ ""selected_subscription_type_ids"" : ""example"", ""promotion_codes"" : ""example"", ""product_code"" : ""example"", ""is_5g"" : true }",V11,save_selected_plan,V11,save_selected_plan,selectedSubscriptionTypeIDs;PromotionCodes;ProductCode;Is5G,Family,SaveSelectedPlan,V3,Family/V3/SaveSelectedPlan,parsed_key_results2,POST
v21,Offers List,Session-Id;Virgin-Device-Id;Accept-Version,GET,family/offers_list,number=example&is_5g=true,V11,offers_list,V11,offers_list,MSISDN;Is5G,FamilyOffers,List,V1,FamilyOffers/V1/List,parsed_key_result3,GET
v19,Submit Customer Data,Session-Id;Virgin-Device-Id;Accept-Version,POST,me/submit_customer_contact,"{ ""name"" : ""example"", ""contact_number"" : ""example"", ""otp"" : ""example"" }",V11,submit_customer_contact,V11,submit_customer_contact,Name;ContactNumber;OTP,Activation,SubmitCustomerContact,V3,Activation/V3/SubmitCustomerContact,parsed_key_results,POST
v21,List,Session-Id;Virgin-Device-Id;Accept-Version,GET,offers/list,number=example&is_5g=true,V11,list,V11,list,MSISDN;Is5G,Offers,List,V1,Offers/V1/List,parsed_key_result3,GET
