southBoundVersion,methodName,queryParams,microService,operation,backendVersion,endpoint,responseUnwrapMethod,httpMethod
V8,user_payments_methods,MSISDN,CreditCard,UserPaymentMethods,V2,CreditCard/V2/UserPaymentMethods,parsed_key_result3,GET
V8,pay_family,Alias;CustomerName;CVV;process;SaveCard,FamilyPayment,PayFamily,V4,FamilyPayment/V4/PayFamily,parsed_key_result3,POST
V8,available_current_plans,MSISDN;IncludeExpiredPromo;isIncludePromotion,Available,Current,V4,Available/V4/Current,parsed_key_result3,GET
V8,register_device,Token,Device,Register,V2,Device/V2/Register,parsed_key_result3,POST
V9,summary,isIncludePromotion,plans,confirmation,V3,plans/V3/confirmation,parsed_key_results,GET
V9,login_by_otp,,Login,LoginByMsisdnUsingOTP,V1,Login/V1/LoginByMsisdnUsingOTP,parsed_key_result3,POST
V9,login_with_number,,Login.svc,LoginByMsisdn,V1,Login.svc/V1/LoginByMsisdn,parsed_key_result3,POST
V9,login,,Login.svc,Login,V1,Login.svc/V1/Login,parsed_key_result3,POST
V9,login_by_device_id,,Login.svc,DeviceID,V1,Login.svc/V1/DeviceID,parsed_key_result3,POST
V9,social_login,,Login.svc,Social,V2,Login.svc/V2/Social,parsed_key_result3,POST
V9,profile,,Customer.svc,Profile,v2,Customer.svc/v2/Profile,parsed_key_result3,GET
